id,x,y,r1,r2
../data/images1/0.jpg,871,401,10,13
../data/images1/1.jpg,871,401,10,13
../data/images1/2.jpg,871,401,10,13
../data/images1/3.jpg,871,401,10,13
../data/images1/4.jpg,871,401,10,13
../data/images1/5.jpg,871,402,10,12
../data/images1/6.jpg,871,402,10,12
../data/images1/7.jpg,870,404,10,11
../data/images1/8.jpg,870,404,10,11
../data/images1/9.jpg,870,404,10,11
../data/images1/10.jpg,870,405,10,10
../data/images1/11.jpg,870,406,10,10
../data/images1/12.jpg,869,407,11,9
../data/images1/13.jpg,869,407,11,9
../data/images1/14.jpg,869,408,11,9
../data/images1/15.jpg,869,408,11,10
../data/images1/16.jpg,869,409,11,10
../data/images1/17.jpg,870,410,10,10
../data/images1/18.jpg,870,411,10,10
../data/images1/19.jpg,870,411,10,11
../data/images1/20.jpg,870,412,10,11
../data/images1/21.jpg,870,413,10,11
../data/images1/22.jpg,870,415,10,11
../data/images1/23.jpg,869,417,10,10
../data/images1/24.jpg,869,419,11,9
../data/images1/25.jpg,869,421,11,9
../data/images1/26.jpg,869,423,11,9
../data/images1/27.jpg,869,424,11,9
../data/images1/28.jpg,869,426,11,10
../data/images1/29.jpg,869,428,10,10
../data/images1/30.jpg,869,430,10,10
../data/images1/31.jpg,870,431,10,11
../data/images1/32.jpg,869,434,10,10
../data/images1/33.jpg,869,435,10,11
../data/images1/34.jpg,869,438,10,11
../data/images1/35.jpg,869,441,10,10
../data/images1/36.jpg,868,444,10,9
../data/images1/37.jpg,868,447,11,9
../data/images1/38.jpg,868,450,11,9
../data/images1/39.jpg,868,453,11,9
../data/images1/40.jpg,868,455,11,9
../data/images1/41.jpg,868,459,11,9
../data/images1/42.jpg,869,462,10,10
../data/images1/43.jpg,869,465,10,10
../data/images1/44.jpg,869,467,10,11
../data/images1/45.jpg,869,470,10,10
../data/images1/46.jpg,869,474,10,10
../data/images1/47.jpg,867,477,10,9
../data/images1/48.jpg,868,482,10,10
../data/images1/49.jpg,867,486,10,9
../data/images1/50.jpg,867,491,11,9
../data/images1/51.jpg,866,494,11,8
../data/images1/52.jpg,867,497,10,8
../data/images1/53.jpg,867,501,10,8
../data/images1/54.jpg,868,505,10,10
../data/images1/55.jpg,867,509,10,9
../data/images1/56.jpg,868,514,10,10
../data/images1/57.jpg,868,518,10,10
../data/images1/58.jpg,868,523,10,10
../data/images1/59.jpg,866,526,10,9
../data/images1/60.jpg,866,531,10,9
../data/images1/61.jpg,866,536,10,9
../data/images1/62.jpg,866,542,10,9
../data/images1/63.jpg,865,547,11,8
../data/images1/64.jpg,865,551,11,8
../data/images1/65.jpg,865,556,11,8
../data/images1/66.jpg,865,561,11,8
../data/images1/67.jpg,866,566,10,9
../data/images1/68.jpg,866,572,10,8
../data/images1/69.jpg,865,575,9,6
../data/images1/70.jpg,867,578,7,3
../data/images1/72.jpg,856,594,0,1
../data/images1/73.jpg,863,602,11,6
../data/images1/74.jpg,864,605,12,7
../data/images1/75.jpg,865,610,12,7
../data/images1/76.jpg,866,613,11,8
../data/images1/77.jpg,867,616,11,8
../data/images1/78.jpg,870,620,10,10
../data/images1/79.jpg,872,623,10,11
../data/images1/80.jpg,873,626,10,11
../data/images1/81.jpg,875,630,10,12
../data/images1/82.jpg,874,631,10,9
../data/images1/83.jpg,877,636,11,9
../data/images1/84.jpg,877,637,11,8
