ID,Contact_Frame,Leave_Frame,Angle_Thin_Film,Total_Frames,Passthrough,H,Angle_of_Drop_with_Normal,Velocity_at_Contact_Frame,X_Velocity_at_Contact_Frame,Y_Velocity_at_Contact_Frame,Angle_at_Leave_Frame,Velocity_at_Leave_Frame,X_Velocity_at_Leave_Frame,Y_Velocity_at_Leave_Frame
 h1,073,085,21.5,219,0,79.4,32.48,3.45,0.66,3.38,-7.96,3.52,3.48,0.49
 theta1_pass,013,035,20.5,115,1,65.1,23.76,5.33,0.3,5.32,-24.44,2.4,2.18,0.99
 theta1_bounce,010,042,20.5,104,0,33.5,40.9,3.93,1.37,3.68,39.65,5.56,4.28,-3.55
 h1_try,073,085,21.5,219,0,76.4,28.76,3.5,0.41,3.48,-5.22,3.57,3.55,0.32
 theta2_pass,040,062,22,159,1,195.9,22.85,6.32,0.09,6.32,-28.85,2.84,2.48,1.37
 theta2_bounce,043,078,22,140,0,198.5,23.07,6.22,0.12,6.22,35.05,5.61,4.59,-3.22
 h2,094,113,27,300,0,83.1,26.6,3.72,-0.03,3.72,-57.03,2.54,1.38,2.13
 theta3_bounce,000,034,31,66,0,0.0,31.0,0.0,0.0,0.0,11.94,6.86,6.71,-1.42
 h3,263,285,27,370,1,87.5,26.68,3.72,-0.02,3.72,-23.85,2.42,2.22,0.98
 theta3_pass,019,035,31,74,1,127.5,32.77,7.12,0.22,7.12,-64.55,5.38,2.31,4.86
 h4,116,136,24.5,282,0,100.0,22.69,3.87,-0.12,3.87,23.59,4.38,4.01,-1.75
 theta5_pass6,027,,54.5,107,1,190.0,53.82,8.34,-0.1,8.34,-39.34,7.09,5.49,4.5
 theta5_pass5,014,,54.5,45,1,99.0,53.33,7.0,-0.14,7.0,-83.02,7.05,0.86,7.0
 theta5_pass4,057,,56.5,131,1,306.0,57.07,7.0,0.07,7.0,-88.26,5.91,0.18,5.91
 theta5_pass3,067,,56.5,111,1,337.4,56.42,8.05,-0.01,8.05,-49.89,7.63,4.91,5.83
 theta5_bounce2,051,089,50.5,120,0,263.2,48.07,7.02,-0.3,7.02,-36.79,7.16,5.73,4.29
 theta5_bounce1,044,080,52.5,108,0,244.1,52.94,7.51,0.06,7.51,-38.7,7.31,5.7,4.57
 h5_short,059,077,24.5,180,0,111.1,23.13,4.07,-0.1,4.07,25.85,4.47,4.02,-1.95
 theta6_bounce,026,061,46,105,0,169.3,45.95,7.31,-0.01,7.31,-12.69,6.18,6.03,1.36
 theta6_pass,055,085,46,121,1,297.7,46.89,7.88,0.12,7.88,-32.7,6.54,5.5,3.53
 h6,062,082,24.5,191,0,122.5,23.44,4.43,-0.08,4.43,26.24,4.72,4.24,-2.09
 h7_short,059,077,25,180,0,131.9,23.17,4.45,-0.14,4.45,28.04,4.62,4.08,-2.17
 h7,059,079,25,273,0,132.1,24.16,4.46,-0.07,4.46,26.88,4.85,4.33,-2.19
 h8_short,062,081,24.5,180,0,140.9,23.42,4.65,-0.09,4.65,27.97,4.97,4.39,-2.33
 h9_short,064,085,24.5,180,0,148.5,23.78,5.13,-0.06,5.13,27.24,5.07,4.51,-2.32
 h10_short,067,085,24.5,178,0,169.6,23.73,5.27,-0.07,5.27,28.65,5.3,4.65,-2.54
 h11_short,072,092,27.5,166,0,173.7,26.22,5.4,-0.12,5.4,16.25,5.46,5.24,-1.53
 h12_short,020,042,27.5,100,0,99.1,26.08,5.57,-0.14,5.57,9.05,5.06,4.99,-0.79
 h13_short,077,097,27.5,171,0,206.3,27.11,5.88,-0.04,5.88,21.17,6.18,5.76,-2.23
 h14_short,076,100,25.5,148,1,223.7,24.89,6.33,-0.07,6.33,-14.46,3.29,3.19,0.82
 h15_short,077,100,25.5,142,1,225.2,24.18,6.0,-0.14,6.0,-23.01,3.31,3.05,1.29
 h16_short,078,099,25.5,145,1,233.9,24.49,6.1,-0.11,6.1,-31.78,3.3,2.81,1.74
 h17_short,080,100,25.5,144,1,247.4,24.49,6.24,-0.11,6.24,-42.01,3.51,2.61,2.35
 h18_short,083,100,29.5,144,1,267.6,28.7,6.44,-0.09,6.44,-58.42,4.28,2.24,3.64
 h19_short,085,099,29.5,141,1,285.5,29.23,6.9,-0.03,6.9,-71.83,5.34,1.67,5.08
 h20_short,088,101,29,140,1,298.1,28.03,6.78,-0.11,6.78,-73.37,5.37,1.54,5.14
 h21_short,092,104,29,143,1,323.2,28.39,7.03,-0.07,7.02,-77.99,5.95,1.24,5.82
 h22_short,093,103,29.5,130,1,340.3,29.67,7.35,0.02,7.35,-80.22,6.24,1.06,6.15
 h23_short,035,040,18.5,49,1,342.6,19.59,12.07,0.23,12.06,-87.33,11.45,0.53,11.43
 h24,026,029,20.5,48,1,486.4,16.71,7.37,-0.49,7.35,-78.64,10.38,2.04,10.18
 h25_short,021,023,19,25,1,318.8,18.8,20.59,-0.07,20.59,89.7,20.36,-0.11,20.36
 ref,068,107,24.5,171,0,164.3,23.8,5.28,-0.06,5.28,28.66,5.4,4.74,-2.59
